,pid,name,cpu_percent,memory
0,1,systemd,0.0,0.14769034109151474
1,2,kthreadd,0.0,0.0
2,3,rcu_gp,0.0,0.0
3,4,rcu_par_gp,0.0,0.0
4,6,kworker/0:0H-kblockd,0.0,0.0
5,9,mm_percpu_wq,0.0,0.0
6,10,ksoftirqd/0,0.0,0.0
7,11,rcu_sched,0.0,0.0
8,12,migration/0,0.0,0.0
9,13,idle_inject/0,0.0,0.0
10,14,cpuhp/0,0.0,0.0
11,15,cpuhp/1,0.0,0.0
12,16,idle_inject/1,0.0,0.0
13,17,migration/1,0.0,0.0
14,18,ksoftirqd/1,0.0,0.0
15,20,kworker/1:0H-kblockd,0.0,0.0
16,21,cpuhp/2,0.0,0.0
17,22,idle_inject/2,0.0,0.0
18,23,migration/2,0.0,0.0
19,24,ksoftirqd/2,0.0,0.0
20,26,kworker/2:0H-kblockd,0.0,0.0
21,27,cpuhp/3,0.0,0.0
22,28,idle_inject/3,0.0,0.0
23,29,migration/3,0.0,0.0
24,30,ksoftirqd/3,0.0,0.0
25,32,kworker/3:0H-kblockd,0.0,0.0
26,33,cpuhp/4,0.0,0.0
27,34,idle_inject/4,0.0,0.0
28,35,migration/4,0.0,0.0
29,36,ksoftirqd/4,0.0,0.0
30,38,kworker/4:0H,0.0,0.0
31,39,cpuhp/5,0.0,0.0
32,40,idle_inject/5,0.0,0.0
33,41,migration/5,0.0,0.0
34,42,ksoftirqd/5,0.0,0.0
35,44,kworker/5:0H-kblockd,0.0,0.0
36,45,cpuhp/6,0.0,0.0
37,46,idle_inject/6,0.0,0.0
38,47,migration/6,0.0,0.0
39,48,ksoftirqd/6,0.0,0.0
40,50,kworker/6:0H-kblockd,0.0,0.0
41,51,cpuhp/7,0.0,0.0
42,52,idle_inject/7,0.0,0.0
43,53,migration/7,0.0,0.0
44,54,ksoftirqd/7,0.0,0.0
45,56,kworker/7:0H-kblockd,0.0,0.0
46,57,kdevtmpfs,0.0,0.0
47,58,netns,0.0,0.0
48,59,rcu_tasks_kthre,0.0,0.0
49,60,kauditd,0.0,0.0
50,61,khungtaskd,0.0,0.0
51,62,oom_reaper,0.0,0.0
52,63,writeback,0.0,0.0
53,64,kcompactd0,0.0,0.0
54,65,ksmd,0.0,0.0
55,66,khugepaged,0.0,0.0
56,113,kintegrityd,0.0,0.0
57,114,kblockd,0.0,0.0
58,115,blkcg_punt_bio,0.0,0.0
59,118,tpm_dev_wq,0.0,0.0
60,119,ata_sff,0.0,0.0
61,120,md,0.0,0.0
62,121,edac-poller,0.0,0.0
63,122,devfreq_wq,0.0,0.0
64,123,watchdogd,0.0,0.0
65,126,kswapd0,0.0,0.0
66,127,ecryptfs-kthrea,0.0,0.0
67,129,kthrotld,0.0,0.0
68,130,irq/122-pciehp,0.0,0.0
69,131,irq/123-aerdrv,0.0,0.0
70,132,irq/124-aerdrv,0.0,0.0
71,137,acpi_thermal_pm,0.0,0.0
72,139,vfio-irqfd-clea,0.0,0.0
73,141,ipv6_addrconf,0.0,0.0
74,150,kstrp,0.0,0.0
75,153,kworker/u17:0-hci0,0.0,0.0
76,169,charger_manager,0.0,0.0
77,226,scsi_eh_0,0.0,0.0
78,227,scsi_tmf_0,0.0,0.0
79,229,scsi_eh_1,0.0,0.0
80,230,scsi_tmf_1,0.0,0.0
81,231,scsi_eh_2,0.0,0.0
82,232,scsi_tmf_2,0.0,0.0
83,236,kworker/2:1H-kblockd,0.0,0.0
84,237,kworker/3:1H-events_highpri,0.0,0.0
85,242,kworker/4:1H-events_highpri,0.0,0.0
86,265,kworker/1:1H-events_highpri,0.0,0.0
87,266,jbd2/sda2-8,0.0,0.0
88,267,ext4-rsv-conver,0.0,0.0
89,280,kworker/7:1H-events_highpri,0.0,0.0
90,283,kworker/0:1H-events_highpri,0.0,0.0
91,302,kworker/5:1H-events_highpri,0.0,0.0
92,307,kworker/6:1H-events_highpri,0.0,0.0
93,317,systemd-journald,0.0,0.7237175157160542
94,336,kworker/2:3-events,0.0,0.0
95,362,loop0,0.0,0.0
96,363,loop1,0.0,0.0
97,364,loop2,0.0,0.0
98,366,loop3,0.0,0.0
99,368,loop4,0.0,0.0
100,369,loop5,0.0,0.0
101,371,loop6,0.0,0.0
102,373,loop7,0.0,0.0
103,375,loop8,0.0,0.0
104,379,loop9,0.0,0.0
105,380,loop10,0.0,0.0
106,381,loop11,0.0,0.0
107,384,loop12,0.0,0.0
108,385,loop13,0.0,0.0
109,387,loop14,0.0,0.0
110,392,loop15,0.0,0.0
111,393,loop16,0.0,0.0
112,394,loop17,0.0,0.0
113,395,loop18,0.0,0.0
114,397,loop19,0.0,0.0
115,400,loop20,0.0,0.0
116,402,loop21,0.0,0.0
117,405,loop22,0.0,0.0
118,407,loop23,0.0,0.0
119,409,loop24,0.0,0.0
120,412,loop25,0.0,0.0
121,413,loop26,0.0,0.0
122,414,loop27,0.0,0.0
123,416,loop28,0.0,0.0
124,418,loop29,0.0,0.0
125,420,loop30,0.0,0.0
126,422,loop31,0.0,0.0
127,424,loop32,0.0,0.0
128,426,loop33,0.0,0.0
129,427,loop34,0.0,0.0
130,429,loop35,0.0,0.0
131,431,systemd-udevd,0.0,0.09930644775111963
132,432,loop36,0.0,0.0
133,480,irq/128-mei_me,0.0,0.0
134,507,cryptd,0.0,0.0
135,529,cfg80211,0.0,0.0
136,542,irq/129-rtwpci,0.0,0.0
137,548,kworker/u17:2-hci0,0.0,0.0
138,1191,systemd-resolved,0.0,0.16630718894059682
139,1192,systemd-timesyncd,0.0,0.07526383408505909
140,1213,accounts-daemon,0.0,0.09915711474698259
141,1214,acpid,0.0,0.009756422936952103
142,1216,avahi-daemon,0.0,0.04081768779745268
143,1217,bluetoothd,0.0,0.05654743089988566
144,1218,cron,0.0,0.03549147731656556
145,1219,cupsd,0.0,0.11667885389905984
146,1220,dbus-daemon,0.0,0.07964426887307839
147,1221,NetworkManager,0.0,0.25640476810326673
148,1228,irqbalance,0.0,0.04738833997948165
149,1231,networkd-dispat,0.0,0.24734523251895407
150,1233,polkitd,0.0,0.14171702092603386
151,1236,rsyslogd,0.0,0.06466119079133052
152,1240,snapd,0.0,0.38756892340361776
